url_length,dot_count,has_ip,has_https,has_hyphen,keyword_count,entropy,has_form,has_password,external_links,urgency_words,response_code,has_hsts,has_x_frame_options,has_x_content_type_options,has_content_security_policy,has_x_xss_protection,label
34,2,0,1,0,0,3.777776811456786,0,0,4,0,200.0,1,0,0,1,0,0
25,1,0,1,0,0,4.373660689688186,0,0,103,0,200.0,1,1,1,1,0,1
45,2,0,1,1,0,4.333209418831506,0,0,0,0,404.0,1,0,1,0,0,1
127,5,0,1,0,0,5.286424822359345,0,0,1,0,429.0,1,1,1,1,1,0
24,2,0,1,0,0,3.6368421881310113,1,0,317,0,200.0,1,1,0,1,0,0
25,1,0,1,0,0,3.863465189601647,0,0,0,0,200.0,0,0,0,0,0,0
178,3,0,1,0,0,5.636219175746878,0,0,0,0,200.0,1,1,1,1,1,1
24,1,0,1,1,0,3.8553885422075336,1,0,92,0,200.0,0,0,0,0,0,0
173,2,0,1,0,0,5.623233141940409,0,0,0,0,200.0,1,1,1,1,1,1
65,3,0,1,1,0,4.694617620354637,1,1,2,0,200.0,0,0,0,0,0,1
28,2,0,0,0,0,3.797902689682947,0,0,29,0,200.0,0,0,0,0,0,0
22,1,0,1,0,0,3.936260027531527,0,0,4,1,200.0,0,0,0,0,0,1
64,2,0,1,0,0,4.458307960931275,0,0,0,0,200.0,0,0,0,0,0,1
75,2,0,1,1,0,4.868297356931778,0,0,0,0,200.0,1,1,0,0,0,1
21,1,0,1,0,0,3.8442328987631917,1,1,175,0,200.0,0,0,0,0,0,0
21,1,0,0,0,0,3.4992275417233567,0,0,17,0,200.0,1,1,1,1,0,0
26,2,0,1,0,0,3.690260390968384,0,0,0,0,200.0,1,0,0,0,0,1
30,2,0,1,0,0,4.1898980954642875,1,0,4,0,200.0,0,0,0,0,0,1
21,1,0,1,1,0,3.6130541857977945,0,0,0,0,200.0,0,0,0,0,0,1
175,2,0,1,0,0,5.617736613298128,0,0,0,0,200.0,1,1,1,1,1,1
27,1,0,1,0,0,3.7784235030301248,0,0,0,0,200.0,0,0,0,0,0,1
22,1,0,1,0,0,3.8453509366224363,0,0,4,1,200.0,0,0,0,0,0,1
54,2,0,1,0,0,4.726928705787044,0,0,0,0,200.0,1,0,0,0,0,1
20,1,0,1,0,0,3.6464393446710157,1,0,27,0,200.0,0,1,0,0,1,1
37,1,0,1,0,0,3.850948973561642,0,0,0,0,403.0,0,0,0,0,0,1
30,2,0,1,0,0,3.872905595320056,0,0,3,1,403.0,1,1,1,0,0,0
35,2,0,0,0,0,3.9328743603470455,0,0,14,0,404.0,0,1,1,1,1,0
40,2,0,1,1,0,4.081687083026442,0,0,1,0,200.0,0,0,0,0,0,1
76,2,0,1,1,0,4.844701159310767,0,0,0,0,200.0,1,1,0,0,0,1
23,1,0,1,0,0,3.936180434129755,1,0,2,0,403.0,0,1,0,0,0,1
75,2,0,1,1,0,4.812300944395514,0,0,0,0,200.0,1,1,0,0,0,1
